pathogen	mgs_site	site_name	comparison_type	comparison_source	r_value	p_value	n_points	r_formatted
Influenza A	Boston DITP North, MA	Boston DITP North, MA	Clinical	MGH clinical testing	0.6539994970462203	6.194380618587667e-07	47	0.65***
Influenza A	Boston DITP South, MA	Boston DITP South, MA	Clinical	MGH clinical testing	0.7103028483415035	2.242355592660247e-08	47	0.71***
RSV	Boston DITP North, MA	Boston DITP North, MA	Clinical	MGH clinical testing	0.8399820076287347	1.573901357559645e-13	47	0.84***
RSV	Boston DITP South, MA	Boston DITP South, MA	Clinical	MGH clinical testing	0.7543289810519972	9.206058361034847e-10	47	0.75***
SARS-CoV-2	Boston DITP North, MA	Boston DITP North, MA	Clinical	MGH clinical testing	0.7814523589269197	9.047204635299658e-11	47	0.78***
SARS-CoV-2	Boston DITP South, MA	Boston DITP South, MA	Clinical	MGH clinical testing	0.7752081406105459	1.5875701098203053e-10	47	0.78***
Influenza A	Boston DITP North, MA	Boston DITP North, MA	NWSS	NWSS ddPCR	0.6991232034559144	1.631397491175707e-08	50	0.70***
Influenza A	Boston DITP South, MA	Boston DITP South, MA	NWSS	NWSS ddPCR	0.7782126450565275	2.914476128455208e-11	50	0.78***
Influenza A	Chicago (CHI-A), IL	Chicago (CHI-A), IL	NWSS	NWSS ddPCR	0.238924571559548	0.04802634880907506	69	0.24*
Influenza A	Columbia WWTP, MO	Columbia WWTP, MO	NWSS	NWSS ddPCR	0.5754832882070199	1.236407673331778e-07	72	0.58***
Influenza A	Riverside WQCP, CA	Riverside WQCP, CA	NWSS	NWSS ddPCR	0.9047946988933845	4.849403311263304e-16	41	0.90***
RSV	Boston DITP North, MA	Boston DITP North, MA	NWSS	NWSS ddPCR	0.8316897676027432	7.419979397359872e-14	50	0.83***
RSV	Boston DITP South, MA	Boston DITP South, MA	NWSS	NWSS ddPCR	0.5850548669845148	8.115661388354824e-06	50	0.59***
RSV	Chicago (CHI-A), IL	Chicago (CHI-A), IL	NWSS	NWSS ddPCR	0.7327466283282644	8.252898172800623e-13	69	0.73***
RSV	Columbia WWTP, MO	Columbia WWTP, MO	NWSS	NWSS ddPCR	0.6979316769711436	7.05001207361164e-16	100	0.70***
RSV	Riverside WQCP, CA	Riverside WQCP, CA	NWSS	NWSS ddPCR	0.9246358129780218	6.100822457829433e-18	41	0.92***
SARS-CoV-2	Boston DITP North, MA	Boston DITP North, MA	NWSS	NWSS ddPCR	0.68	5.59732920052446e-08	50	0.68***
SARS-CoV-2	Boston DITP South, MA	Boston DITP South, MA	NWSS	NWSS ddPCR	0.7140936374549821	5.8010742631533685e-09	50	0.71***
SARS-CoV-2	Chicago (CHI-A), IL	Chicago (CHI-A), IL	NWSS	NWSS ddPCR	0.36620387285348927	0.001970731922746442	69	0.37**
SARS-CoV-2	Columbia WWTP, MO	Columbia WWTP, MO	NWSS	NWSS ddPCR	0.7791729761211414	8.414647401018921e-22	101	0.78***
SARS-CoV-2	Riverside WQCP, CA	Riverside WQCP, CA	NWSS	NWSS ddPCR	0.8688153310104532	1.8012883032954096e-13	41	0.87***
