Date	Cost per Mb	Cost per median CASPER sample	Source
Jan 2007	$522.71	$151.43M	NHGRI
Jan 2008	$102.13	$29.59M	NHGRI
Jan 2009	$2.59	$750.32k	NHGRI
Jan 2010	$0.52	$150.64k	NHGRI
Jan 2011	$0.23	$66.63k	NHGRI
Jan 2012	$0.09	$26.07k	NHGRI
Jan 2013	$0.06	$17.38k	NHGRI
Jan 2014	$0.04	$11.59k	NHGRI
Jan 2015	$0.04	$11.59k	NHGRI
May 2016	$0.013	$3.77k	NHGRI
Feb 2017	$0.011	$3.19k	NHGRI
Feb 2018	$0.014	$4.06k	NHGRI
Feb 2019	$0.011	$3.19k	NHGRI
Feb 2020	$0.007	$2.03k	NHGRI
Feb 2021	$0.009	$2.61k	NHGRI
Feb 2022	$0.006	$1.74k	NHGRI
Jul 2023	$0.005	$1.45k	estimated
Jul 2024	$0.003	$869.10	estimated
Jan 2025	$0.002	$579.40	estimated
Jan 2026	$0.002	$579.40	estimated
